Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,,26.9
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Province 1,Percent,NP1,17.5
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Madhesh,Percent,NP2,18.3
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Bagmati,Percent,NP3,59.2
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Gandaki,Percent,NP4,28.2
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Lumbini,Percent,NP5,15.8
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Karnali,Percent,NP6,5.8
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Sudurpashchim,Percent,NP7,13.3
