Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,_L_NP_01_03_01_1,,PT,,38.6
2019,_L_NP_01_03_01_1,NP1,PT,NP1,36.0
2019,_L_NP_01_03_01_1,NP2,PT,NP2,36.9
2019,_L_NP_01_03_01_1,NP3,PT,NP3,28.6
2019,_L_NP_01_03_01_1,NP4,PT,NP4,41.2
2019,_L_NP_01_03_01_1,NP5,PT,NP5,42.0
2019,_L_NP_01_03_01_1,NP6,PT,NP6,55.2
2019,_L_NP_01_03_01_1,NP7,PT,NP7,53.8
2019,_L_NP_01_03_01_2,,PT,,41.5
2019,_L_NP_01_03_01_2,NP1,PT,NP1,39.2
2019,_L_NP_01_03_01_2,NP2,PT,NP2,39.1
2019,_L_NP_01_03_01_2,NP3,PT,NP3,30.5
2019,_L_NP_01_03_01_2,NP4,PT,NP4,43.9
2019,_L_NP_01_03_01_2,NP5,PT,NP5,44.8
2019,_L_NP_01_03_01_2,NP6,PT,NP6,60.4
2019,_L_NP_01_03_01_2,NP7,PT,NP7,59.0
