Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,GeoCode,Value
2014,_L_NP_03_08_01_1,,Y15T49,PT,,68.3
2019,_L_NP_03_08_01_1,,Y15T49,PT,,88.8
2019,_L_NP_03_08_01_1,NP1,Y15T49,PT,NP1,84.2
2019,_L_NP_03_08_01_1,NP2,Y15T49,PT,NP2,86.1
2019,_L_NP_03_08_01_1,NP3,Y15T49,PT,NP3,90.6
2019,_L_NP_03_08_01_1,NP4,Y15T49,PT,NP4,86.9
2019,_L_NP_03_08_01_1,NP5,Y15T49,PT,NP5,92.4
2019,_L_NP_03_08_01_1,NP6,Y15T49,PT,NP6,85.1
2019,_L_NP_03_08_01_1,NP7,Y15T49,PT,NP7,95.9
2014,_L_NP_03_08_01_2,,Y15T49,PT,,59.5
2019,_L_NP_03_08_01_2,,Y15T49,PT,,77.8
2019,_L_NP_03_08_01_2,NP1,Y15T49,PT,NP1,80.3
2019,_L_NP_03_08_01_2,NP2,Y15T49,PT,NP2,56.8
2019,_L_NP_03_08_01_2,NP3,Y15T49,PT,NP3,87.2
2019,_L_NP_03_08_01_2,NP4,Y15T49,PT,NP4,91.2
2019,_L_NP_03_08_01_2,NP5,Y15T49,PT,NP5,80.7
2019,_L_NP_03_08_01_2,NP6,Y15T49,PT,NP6,72.3
2019,_L_NP_03_08_01_2,NP7,Y15T49,PT,NP7,88.0
2019,_L_NP_03_08_01_3,,Y15T49,PT,,5.4
2019,_L_NP_03_08_01_3,NP1,Y15T49,PT,NP1,3.9
2019,_L_NP_03_08_01_3,NP2,Y15T49,PT,NP2,5.3
2019,_L_NP_03_08_01_3,NP3,Y15T49,PT,NP3,15.6
2019,_L_NP_03_08_01_3,NP4,Y15T49,PT,NP4,3.7
2019,_L_NP_03_08_01_3,NP5,Y15T49,PT,NP5,1.4
2019,_L_NP_03_08_01_3,NP6,Y15T49,PT,NP6,0.9
2019,_L_NP_03_08_01_3,NP7,Y15T49,PT,NP7,0.0
2014,_L_NP_03_08_01_4,,,PT,,50.1
2019,_L_NP_03_08_01_4,,,PT,,82.0
2019,_L_NP_03_08_01_4,NP3,,PT,NP3,-69.1
2019,_L_NP_03_08_01_4,NP5,,PT,NP5,-94.3
2019,_L_NP_03_08_01_4,NP7,,PT,NP7,-94.2
