Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,SH_ACS_VACN,,PT,,40.0
2019,SH_ACS_VACN,NP1,PT,NP1,38.6
2019,SH_ACS_VACN,NP2,PT,NP2,22.1
2019,SH_ACS_VACN,NP3,PT,NP3,42.3
2019,SH_ACS_VACN,NP4,PT,NP4,57.4
2019,SH_ACS_VACN,NP5,PT,NP5,55.7
2019,SH_ACS_VACN,NP6,PT,NP6,36.5
2019,SH_ACS_VACN,NP7,PT,NP7,40.3
2014,_L_NP_03_b_01_1,,PT,,67.1
2019,_L_NP_03_b_01_1,,PT,,70.2
2019,_L_NP_03_b_01_1,NP1,PT,NP1,71.6
2019,_L_NP_03_b_01_1,NP2,PT,NP2,52.8
2019,_L_NP_03_b_01_1,NP3,PT,NP3,79.6
2019,_L_NP_03_b_01_1,NP4,PT,NP4,87.9
2019,_L_NP_03_b_01_1,NP5,PT,NP5,73.3
2019,_L_NP_03_b_01_1,NP6,PT,NP6,70.0
2019,_L_NP_03_b_01_1,NP7,PT,NP7,66.0
