Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,AG_PRD_ORTIND,,PT,,0.15
2019,AG_PRD_ORTIND,,PT,,0.21
2022,AG_PRD_ORTIND,,PT,,0.26
