Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Proportion of population with access to electricity [7.1.1],,Percent,,84.9
2019,Proportion of population with access to electricity [7.1.1],,Percent,,89.9
2019,Proportion of population with access to electricity [7.1.1],Province 1,Percent,NP1,88.5
2019,Proportion of population with access to electricity [7.1.1],Madhesh,Percent,NP2,96.3
2019,Proportion of population with access to electricity [7.1.1],Bagmati,Percent,NP3,97.4
2019,Proportion of population with access to electricity [7.1.1],Gandaki,Percent,NP4,98.9
2019,Proportion of population with access to electricity [7.1.1],Lumbini,Percent,NP5,90.8
2019,Proportion of population with access to electricity [7.1.1],Karnali,Percent,NP6,44.9
2019,Proportion of population with access to electricity [7.1.1],Sudurpashchim,Percent,NP7,77.1
